psraid,sample,state,cregion,usr,eminuse,intmob,pialql1,smart1,act62,act102,act121,act131,act132,act133,act134,pial1a,pial1b,vid01a,vid01b,vid01c,vid01d,vid01e,vid01f,vid01g,vid01h,vid01i,vid01j,pial2,pial3a,pial3b,pial3c,pial3d,pial3e,pial3f,pial3g,pial4a,pial4b,pial5,pial6,cell1a,cell1b,cell1c,cell1d,cell2,employ,par,sex,age,educ2,hisp,race,inc,weight,standwt
100288,1,55,2,U,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , ,2,2,2,2,2,1,2,1,62,6,2,1,8,1.37931034482759,.411930585794658
100290,1,25,1,U,1,2,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,2,2,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,46,6,2,1,5,1.62068965517241,.484018438308723
100299,1,42,1,S,1,2,1,2,1,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,1,1,2,2, , , , , , , , , , , ,2,2,2,2,2,3,2,1,67,5,2,1,4,1.58620689655172,.473720173663857
100303,1,34,1,S,2,1,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,85,7,2,1,5,1.13793103448276,.339842733280593
100305,1,48,3,U,1,1,1,1,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , ,2,2,2,2,2,1,2,2,61,5,1,1,4,2.37931034482759,.710580260495785
100307,1,37,3,R,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,2,79,5,2,2,99,1,.298649674701127
100317,1,8,4,R,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,2,67,2,1,6,1,2.24137931034483,.669387201916319
100333,1,13,3,U,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,2,53,4,2,2,1,3.06896551724138,.916545553393114
100338,1,31,2,R,1,2,2, ,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,3,2,2,75,7,2,1,4,1.20689655172414,.360439262570326
100340,1,37,3,R,2,1,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,56,5,2,1,99,1.13793103448276,.339842733280593
100347,1,42,1,S,1,1,1,1,2,1,1,2,2,1,2,2,2,1,1,1,2,2,1,2,1,2,2,2, , , , , , , , , , , ,2,2,2,2,2,1,2,2,99,8,2,1,9,1.58620689655172,.473720173663857
100349,1,8,4,S,2,1,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,1,3,2,1,79,3,2,1,4,1.51724137931035,.453123644374124
100351,1,34,1,S,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,2,1,2,2,2,2, , , , , , , ,1,2,2,2,2,2,1,2,1,3,2,2,41,4,2,1,1,6.06896551724138,1.8124945774965
100357,1,31,2,R,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,2,77,3,2,1,1,4.27586206896552,1.27698481596344
100359,1,49,4,S,2,1,1,1,2,2,2,2,2,1,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,1,2,1,70,8,2,1,7,1.13793103448276,.339842733280593
100360,1,36,1,U,2,2,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,2,86,3,2,1,99,2.10344827586207,.628194143336853
100361,1,51,3,U,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,2,89,3,2,1,7,2.24137931034483,.669387201916319
100362,1,19,2,R,1,2,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,3,2,2,78,4,2,1,3,1,.298649674701127
100365,1,39,2,S,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,1,1,2,2, , , , , , , ,2,2,2,2,1,2,1,2,1,3,2,1,65,8,2,1,8,1.27586206896552,.381035791860059
100378,1,29,2,S,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,50,3,2,1,4,4.82758620689655,1.4417570502813
100380,1,35,4,R,1,2,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,1,2,1,58,3,2,1,6,3.03448275862069,.906247288748248
100381,1,20,2,R,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,2,67,3,2,1,99,1.44827586206897,.432527115084391
100387,1,6,4,U,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,2,2,1,1,1,2,2, , , , , , , ,1,1,2,2,1,1,1,2,1,2,2,2,49,6,2,1,8,3.27586206896552,.978335141262313
100398,1,31,2,U,1,1,2, ,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,2,2,2, , , , , , , , , , , , , , , , ,3,2,2,71,8,2,1,3,1.86206896551724,.556106290822788
100403,1,6,4,U,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,2,75,4,1,9,2,3.44827586206897,1.02982646448665
100406,1,25,1,S,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,2,58,3,2,1,2,2.62068965517241,.78266811300985
100411,1,24,3,S,1,1,1,2,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2, , , , , , , , , , , ,2,2,2,2,2,1,2,2,57,6,2,1,6,1.68965517241379,.504614967598456
100413,1,4,4,S,1,2,2, ,2,2,1,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,3,2,1,53,3,2,1,1,3.37931034482759,1.00922993519691
100414,1,53,4,S,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,2,1,1,2,1,1,2,2, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,1,71,5,2,1,7,1.6551724137931,.49431670295359
100416,1,42,1,S,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,2,67,3,2,1,4,1.58620689655172,.473720173663857
100418,1,6,4,S,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,2,68,3,2,1,3,1.89655172413793,.566404555467655
100419,1,13,3,U,1,1,1,1,2,1,2,1,2,2,2,2,2,1,2,2,1,2,1,2,1,1,2,2, , , , , , , , , , , ,1,2,2,2,2,1,2,1,53,6,2,1,8,3.79310344827586,1.13280911093531
100420,1,6,4,S,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,1,75,3,2,1,3,1.79310344827586,.535509761533055
100426,1,4,4,U,1,2,1,2,1,1,1,1,1,1,2,1,1,2,2,1,2,2,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,1,18,3,2,1,7,4,1.19459869880451
100430,1,36,1,U,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,1,1,2,2,1,1,2, , , , , , , , , , , ,2,2,2,2,2,1,2,1,45,3,2,2,2,2.27586206896552,.679685466561186
100438,1,20,2,R,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,2,80,6,2,1,99,1,.298649674701127
100443,1,17,2,S,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2, , , , , , , , , , , ,2,2,2,2,2,3,2,1,80,6,2,1,99,1.27586206896552,.381035791860059
100451,1,12,3,S,1,2,1,2,2,1,1,2,2,1,2,2,2,1,1,1,1,2,2,1,2,1,2,2, , , , , , , , , , , ,2,2,2,2,2,3,2,1,66,6,2,1,8,1.27586206896552,.381035791860059
100456,1,39,2,U,1,1,1,1,2,2,2,2,2,2,2, , , , , , , , , , , , ,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,9,1,2,60,3,2,2,3,3.51724137931035,1.05042299377638
100457,1,19,2,U,1,1,1,1,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2, , , , , , , , , , , ,1,2,1,2,2,1,2,2,60,8,2,1,9,2.17241379310345,.648790672626586
100459,1,6,4,U,1,2,2, ,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,3,2,1,65,8,2,1,3,1.96551724137931,.587001084757388
100461,1,1,3,R,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,3,2,1,81,5,2,1,3,1.41379310344828,.422228850439524
100469,1,25,1,S,1,1,1,1,2,1,2,1,1,1,2,1,2,2,1,2,2,2,2,1,1,1,2,2, , , , , , , ,1,2,2,2,2,2,2,2,1,1,2,1,70,4,2,1,9,1.89655172413793,.566404555467655
100470,1,6,4,S,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,1,2,1,68,3,1,6,3,2.41379310344828,.720878525140651
100471,1,19,2,R,1,2,2, ,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , ,3,2,2,85,4,2,1,2,1.27586206896552,.381035791860059
100476,1,17,2,R,1,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,2,2,1,1,1,2,2, , , , , , , ,2,2,2,2,2,2,2,1,2,1,2,1,57,6,2,1,7,1.62068965517241,.484018438308723
100481,1,27,2,S,1,1,1,1,2,2,2,2,2,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,1,2,2,2,2,2,9,2,99,8,2,1,9,1.58620689655172,.473720173663857
